id,exchange,ts_code,symbol,freq,trade_time,open,close,high,low,vol,is_contract
1893,okex,DOGE_USDT,DOGE-USDT-SWAP,1min,2021-04-22 03:14:00,0.285557,0.286121,0.286949,0.284275,5351.0,Y
1894,okex,DOGE_USDT,DOGE-USDT,1min,2021-04-22 03:13:00,0.286206,0.285392,0.287332,0.284592,6335345.256388,N
1895,okex,DOGE_USDT,DOGE-USDT-SWAP,1min,2021-04-22 03:13:00,0.286479,0.285409,0.28786,0.285,6514.0,Y
1896,okex,DOGE_USDT,DOGE-USDT-SWAP,1min,2021-04-22 03:12:00,0.288204,0.28634,0.288204,0.285001,6194.0,Y
1897,okex,DOGE_USDT,DOGE-USDT,1min,2021-04-22 03:12:00,0.287829,0.285994,0.287943,0.285155,6238925.361602,N
1898,okex,DOGE_USDT,DOGE-USDT-SWAP,1min,2021-04-22 03:11:00,0.290324,0.288203,0.290405,0.287811,3652.0,Y
1899,okex,DOGE_USDT,DOGE-USDT,1min,2021-04-22 03:11:00,0.28986,0.287944,0.290002,0.287481,3569259.220072,N
1900,okex,DOGE_USDT,DOGE-USDT,1min,2021-04-22 03:10:00,0.290374,0.29,0.291156,0.289883,3077282.950985,N
1901,okex,DOGE_USDT,DOGE-USDT-SWAP,1min,2021-04-22 03:10:00,0.290626,0.290324,0.29169,0.290261,2520.0,Y
1902,okex,DOGE_USDT,DOGE-USDT-SWAP,1min,2021-04-22 03:09:00,0.288772,0.290682,0.290969,0.28867,5501.0,Y
1903,okex,DOGE_USDT,DOGE-USDT,1min,2021-04-22 03:09:00,0.288362,0.290475,0.290531,0.288241,4432944.957415,N
1904,okex,DOGE_USDT,DOGE-USDT,1min,2021-04-22 03:08:00,0.28963,0.288578,0.289963,0.28817,1936732.970106,N
1905,okex,DOGE_USDT,DOGE-USDT-SWAP,1min,2021-04-22 03:08:00,0.29003,0.288378,0.290543,0.287713,4620.0,Y
1906,okex,DOGE_USDT,DOGE-USDT,1min,2021-04-22 03:07:00,0.289323,0.289613,0.290202,0.289014,4128331.70275,N
1907,okex,DOGE_USDT,DOGE-USDT-SWAP,1min,2021-04-22 03:07:00,0.28986,0.290096,0.290787,0.2895,3818.0,Y
1908,okex,DOGE_USDT,DOGE-USDT-SWAP,1min,2021-04-22 03:06:00,0.291366,0.289842,0.2916,0.289801,3760.0,Y
1909,okex,DOGE_USDT,DOGE-USDT,1min,2021-04-22 03:06:00,0.290987,0.289469,0.291139,0.289232,4360953.219533,N
1910,okex,DOGE_USDT,DOGE-USDT-SWAP,1min,2021-04-22 03:05:00,0.2938,0.291366,0.294328,0.290723,4282.0,Y
